MAE RRT minutes,DL sim,mean_abs_gap_IB,mean_abs_gap_CB,mean_signed_gap_IB,mean_signed_gap_CB,signed_bias_rrt_IB,signed_bias_rrt_CB,signed_bias_ttne_sum_IB,signed_bias_ttne_sum_CB,error_correlation_IB,config,seed
23982.963833730475,0.8559071732139705,466052.125,686038.5194598888,-393573.59375,-616232.2831171124,311443.34375,632936.785808843,-82130.390625,16704.41373223899,0.8482174873352051,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,17
24388.629659047452,0.8553440402711587,525319.6875,746960.1934515929,-468581.40625,-694157.0022063366,363197.21875,688319.9943517783,-105384.34375,-5837.126467213838,0.8381941318511963,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,3
23564.12033065631,0.8565800196915542,524347.6875,729086.6896125673,-460973.09375,-669732.4197334745,233227.046875,552897.3273320978,-227746.15625,-116835.27314447092,0.8319880366325378,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,5
23818.120107080867,0.8554052316377636,489259.46875,704165.4251169359,-414651.90625,-633268.494572412,262127.890625,580171.6861706822,-152524.109375,-53096.881828611775,0.8478454351425171,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,17
24144.9006089489,0.855410661294237,487420.0625,705769.520077663,-427421.0625,-650094.2306945547,321799.59375,645039.7048804165,-105621.625,-5054.698084899832,0.8443083167076111,SUTRAN_DA_results_subset_0.15_ltn_0.3_detach_ttne,3
23829.945224016712,0.8557004153428647,465042.40625,681919.926573118,-409342.9375,-628207.4620068838,281446.375,597064.749095402,-127896.6875,-31142.8484688024,0.8575121164321899,SUTRAN_DA_results_subset_0.15_ltn_0.3_detach_ttne,17
24079.164345600566,0.8569803491251875,326031.65625,540409.289912629,-262174.5625,-481053.3933456888,318006.65625,636640.7540375959,55831.97265625,155587.25902391667,0.8674878478050232,SUTRAN_DA_results_subset_0.15_ltn_0.5,3
23722.09581972759,0.8558824381122584,323082.96875,522271.17818374373,-265428.6875,-463756.7310916954,224916.59375,525400.2478157268,-40512.16796875,61643.31338805048,0.8758713006973267,SUTRAN_DA_results_subset_0.15_ltn_0.5,17
23998.765298737973,0.8560214545549819,452668.625,671919.4111728886,-383505.53125,-607829.265554673,275610.0,600375.6462801165,-107895.6171875,-7453.757655987997,0.8501280546188354,SUTRAN_DA_results_subset_0.15_ltn_0.5_detach_ttne,3
23618.04653899332,0.8564461743502338,434676.125,640890.430853411,-368705.4375,-577174.5138116671,234190.53125,536969.3873444533,-134515.015625,-40205.22813520431,0.8680305480957031,SUTRAN_DA_results_subset_0.15_ltn_0.5_detach_ttne,17
23787.536869355456,0.8567022300547171,394740.84375,602294.2794104669,-304290.0,-520439.2565528197,97730.2578125,421033.2659076869,-206559.859375,-99406.10360956668,0.867743730545044,SUTRAN_DA_results_subset_0.15_ltn_1.0_detach_ttne,3
23451.83518959786,0.8569426000849439,400980.46875,594326.626776101,-341990.875,-539632.5916512223,181815.15625,472215.86938487337,-160175.8125,-67416.89171299973,0.8775900602340698,SUTRAN_DA_results_subset_0.15_ltn_1.0_detach_ttne,17
24253.427799841145,0.8549290593835496,384155.75,594953.5341982173,-318989.65625,-534617.5582031595,114102.234375,435397.055158415,-204887.546875,-99220.62730562175,0.8814865350723267,SUTRAN_DA_results_subset_0.15_ltn_2.0_detach_ttne,3
24002.33497484776,0.8553008615744419,346162.84375,536780.7819256906,-252253.71875,-447568.8373488659,12841.0751953125,307694.82940605417,-239412.71875,-139874.1999823493,0.8863615393638611,SUTRAN_DA_results_subset_0.15_ltn_2.0_detach_ttne,17
